Restaurant_id,Category,Name,Price_tier,Neighborhood,Opening_hours,Closing_hours,Average_rating,Good_for_kids
139,Mexican,Five Guys,Cheap,Lower East Side,3:41,7:11,1,False
140,American,Sonnyboy,Expensive,Little Italy,10:41,18:10,1,True
141,American,Dudley's,Expensive,Upper East Side,5:40,17:30,3,True
142,French,Raku,Medium,Gramercy,0:55,1:28,2,True
143,Korean,Chipotle,Medium,Tribeca,23:04,19:15,5,True
144,Japanese,Gramercy Tavern,Expensive,Little Italy,21:05,17:46,1,True
145,American,Ruby's,Cheap,Midtown East,12:20,1:09,1,True
146,American,Ruby's,Expensive,Soho,2:20,12:18,3,False
147,French,ABC Kitchen,Cheap,Soho,21:22,18:46,2,True
148,Thai,Che Li,Medium,Upper West Side,23:25,2:48,2,False
149,Japanese,Dudley's,Expensive,Upper West Side,5:40,4:39,4,True
150,American,Konbon,Medium,Gramercy,9:16,0:23,3,False
151,Korean,Sonnyboy,Cheap,Greenwich Village,21:40,22:37,3,True
152,Thai,Ippudo,Cheap,Hell's Kitchen,13:35,15:27,5,True
153,Chinese,Nemesis,Medium,Gramercy,12:38,22:40,1,True
154,American,Take 31,Medium,Chinatown,4:12,9:22,1,True
155,Italian,Gramercy Tavern,Expensive,Little Italy,2:53,4:49,1,False
156,Mexican,Mareluna,Expensive,East Village,11:37,2:23,3,False
157,Chinese,Up Thai,Expensive,Upper West Side,2:01,19:43,4,True
158,Italian,Sonnyboy,Cheap,Upper West Side,2:43,0:52,1,False
159,American,Mareluna,Cheap,Soho,17:09,5:55,2,True
160,Italian,Ippudo,Cheap,Financial District,12:04,8:24,3,False
161,Korean,Tatiana,Expensive,Chinatown,2:39,10:02,4,True
162,Korean,Au Cheval,Medium,Lower East Side,17:26,21:08,4,False
163,American,Fish Cheeks,Medium,Chinatown,7:15,10:21,4,False
164,American,Ruby's,Medium,Greenwich Village,0:32,19:45,4,True
165,Japanese,Cha Long,Cheap,Tribeca,20:57,5:51,4,False
166,Mexican,Ruby's,Medium,Little Italy,12:09,23:54,5,False
167,American,Torrisi,Expensive,Financial District,0:17,18:29,3,False
168,French,Dig,Expensive,Chinatown,7:58,4:58,2,True
169,Mexican,Up Thai,Cheap,Tribeca,15:26,5:55,1,False
170,Mexican,ABC Kitchen,Expensive,Upper East Side,12:05,9:31,4,False
171,French,Gramercy Tavern,Cheap,Little Italy,10:11,14:54,4,True
172,French,Konbon,Cheap,Little Italy,4:17,5:53,2,True
173,Korean,Gramercy Tavern,Cheap,East Village,18:52,12:07,2,False
174,Italian,Ippudo,Medium,Chinatown,17:18,17:34,4,False
175,Mexican,Chipotle,Expensive,Financial District,4:43,18:52,1,True
176,American,Raku,Expensive,Gramercy,18:11,15:15,5,False
177,Chinese,Konbon,Medium,Gramercy,20:06,18:08,1,False
178,Chinese,The Modern,Medium,Little Italy,14:38,9:54,5,True
179,Thai,Dig,Medium,Little Italy,19:58,19:54,3,True
180,Italian,Carbone,Expensive,Little Italy,3:23,3:06,1,True
181,Mexican,Che Li,Expensive,Midtown East,21:41,22:47,2,False
182,American,Chipotle,Cheap,Lower East Side,3:37,9:10,2,True
183,American,ABC Kitchen,Medium,Chinatown,20:58,9:53,3,False
184,Chinese,Ippudo,Medium,Upper East Side,8:15,1:17,4,True
185,Chinese,Tatiana,Medium,Midtown East,11:04,7:45,4,False
186,Chinese,Five Guys,Medium,Hell's Kitchen,5:38,0:23,2,True
187,French,Gramercy Tavern,Expensive,Soho,3:44,13:54,2,True
188,French,Up Thai,Medium,Lower East Side,17:23,23:32,4,True
189,Italian,Dudley's,Cheap,Hell's Kitchen,11:31,13:19,3,False
190,American,Golden Wuish,Medium,Tribeca,22:22,16:25,4,False
191,American,Nemesis,Cheap,Upper East Side,19:14,22:44,4,False
192,Chinese,Sonnyboy,Medium,Chinatown,9:51,11:27,4,False
193,Italian,Konbon,Cheap,Gramercy,8:50,0:59,2,True
194,Mexican,Au Cheval,Cheap,Financial District,0:48,2:14,2,True
195,Japanese,Five Guys,Cheap,Upper East Side,20:34,0:56,4,True
196,Italian,Fish Cheeks,Cheap,Midtown East,19:45,14:47,3,True
197,Thai,Carbone,Cheap,Chinatown,3:34,18:04,5,False
198,American,Palma,Expensive,Upper East Side,1:05,0:13,4,False
199,French,Ruby's,Cheap,Upper West Side,22:55,23:08,3,True
200,Mexican,Golden Wuish,Expensive,Gramercy,6:53,2:28,4,False
201,French,Torrisi,Medium,Soho,4:39,13:47,2,True
202,French,Ippudo,Medium,Chelsea,18:24,19:50,4,True
203,Italian,Ruby's,Medium,Gramercy,2:50,16:44,5,True
204,Chinese,Dig,Medium,Gramercy,0:34,4:54,1,False
205,Mexican,Dudley's,Cheap,Upper East Side,13:32,11:53,2,False
206,Japanese,Cha Long,Expensive,Midtown East,18:28,12:21,2,False
207,Italian,Fish Cheeks,Cheap,Lower East Side,22:41,14:06,3,True
208,French,Sonnyboy,Expensive,Little Italy,18:11,22:40,4,True
209,French,Tatiana,Medium,Chinatown,21:39,11:24,5,True
210,Italian,Up Thai,Cheap,Upper West Side,0:08,17:10,3,True
211,American,Ippudo,Cheap,Upper East Side,11:33,18:43,3,False
212,Korean,Che Li,Medium,Greenwich Village,2:45,11:27,1,False
213,Italian,Torrisi,Cheap,Lower East Side,11:53,5:32,2,True
214,American,Nemesis,Expensive,Little Italy,22:06,11:45,2,True
215,Italian,Mareluna,Cheap,East Village,12:37,12:41,5,False
216,Chinese,Nemesis,Expensive,Tribeca,11:59,16:19,2,True
217,Korean,Gramercy Tavern,Cheap,Upper West Side,7:33,12:12,4,True
218,Mexican,The Modern,Medium,Upper East Side,18:03,10:53,3,False
219,American,Cha Long,Medium,Tribeca,20:24,20:06,1,False
220,Thai,Golden Wuish,Medium,East Village,17:34,20:57,2,True
221,American,Mareluna,Cheap,Upper East Side,13:10,3:39,2,True
222,Mexican,Chipotle,Cheap,Greenwich Village,17:45,15:44,4,False
223,Japanese,Sadelle's,Cheap,Greenwich Village,5:10,8:58,1,False
224,Chinese,Up Thai,Expensive,East Village,8:40,5:25,4,False
225,Italian,Konbon,Medium,Chelsea,5:54,23:01,2,True
226,Thai,Raku,Medium,Greenwich Village,18:18,0:41,4,False
227,Korean,Golden Wuish,Medium,East Village,21:13,16:39,5,True
228,Italian,Gramercy Tavern,Expensive,Financial District,2:38,19:07,5,False
229,Mexican,Tatiana,Medium,Upper West Side,3:16,20:20,2,False
230,Chinese,Ippudo,Expensive,Chelsea,5:03,23:49,2,True
231,Mexican,Fish Cheeks,Medium,Little Italy,12:54,8:04,4,False
232,Thai,Chipotle,Cheap,Midtown East,6:14,22:25,2,False
233,American,Tatiana,Expensive,Midtown East,22:59,10:12,3,False
234,Thai,Palma,Cheap,Tribeca,6:08,0:46,3,False
235,Korean,Gramercy Tavern,Expensive,Tribeca,10:08,9:02,1,False
236,Japanese,Nemesis,Cheap,Midtown East,20:09,0:34,4,True
237,Mexican,Au Cheval,Expensive,Upper East Side,14:14,19:12,2,False
238,Chinese,Five Guys,Expensive,Upper East Side,17:20,8:14,2,True
239,Japanese,Nemesis,Expensive,Greenwich Village,9:53,5:10,1,True
240,Korean,Sonnyboy,Medium,Upper West Side,0:24,19:46,4,False
241,Italian,Torrisi,Cheap,Upper West Side,18:44,10:27,3,False
242,American,Gramercy Tavern,Cheap,Greenwich Village,10:27,14:28,1,False
243,Japanese,Mareluna,Expensive,Midtown East,4:40,21:44,4,False
244,Mexican,Palma,Expensive,Little Italy,3:35,20:31,5,True
245,Chinese,Dig,Cheap,Tribeca,21:45,14:38,1,False
246,French,Golden Wuish,Cheap,Upper West Side,21:27,10:30,1,True
247,Italian,Gramercy Tavern,Expensive,Chinatown,12:31,18:23,4,False
248,Mexican,Take 31,Cheap,Upper East Side,21:20,21:17,3,True
249,French,Mamo,Cheap,Hell's Kitchen,11:25,19:01,2,True
250,Korean,Up Thai,Cheap,Chinatown,0:55,2:38,4,True
251,Korean,Golden Wuish,Cheap,Soho,20:57,23:50,5,True
252,Japanese,Cha Long,Medium,Upper West Side,5:30,8:19,4,True
253,Italian,Chipotle,Expensive,Midtown East,15:53,8:20,2,True
254,Mexican,Gramercy Tavern,Medium,Soho,21:51,21:24,2,False
255,Chinese,Golden Wuish,Medium,Chinatown,22:34,21:56,5,True
256,Thai,Tatiana,Expensive,Lower East Side,17:17,2:58,2,True
257,Korean,Gramercy Tavern,Expensive,Greenwich Village,12:52,1:45,1,True
258,American,Sadelle's,Medium,Upper West Side,7:40,1:56,2,True
259,American,The Modern,Cheap,Greenwich Village,7:47,1:12,4,True
260,French,Carbone,Expensive,Upper East Side,8:54,9:56,3,True
261,Chinese,Konbon,Medium,Gramercy,11:43,15:58,2,False
262,American,Palma,Cheap,Gramercy,18:49,5:24,4,True
263,Mexican,Torrisi,Expensive,Tribeca,9:06,3:51,5,False
264,Italian,Sadelle's,Cheap,Chelsea,9:06,8:59,3,True
265,Mexican,Konbon,Cheap,Financial District,4:32,5:52,1,False
266,Korean,Cha Long,Medium,Gramercy,11:42,22:54,1,False
267,Chinese,Che Li,Cheap,Lower East Side,12:20,23:44,5,False
268,American,Cha Long,Cheap,Chelsea,20:26,9:13,4,False
269,Korean,Dig,Medium,Little Italy,16:54,23:29,2,False
270,Chinese,Sadelle's,Medium,Gramercy,12:38,4:24,1,True
271,Thai,Palma,Expensive,Chinatown,19:21,10:21,5,True
272,Mexican,Carbone,Expensive,Little Italy,1:15,16:38,1,True
273,Thai,Five Guys,Cheap,Midtown East,17:36,19:38,2,False
274,Chinese,Sonnyboy,Cheap,Financial District,9:41,17:41,3,False
275,Korean,Nemesis,Cheap,Chinatown,18:06,22:36,1,False
276,Italian,Nemesis,Expensive,Soho,21:06,8:00,3,True
277,Japanese,Au Cheval,Expensive,Upper West Side,14:09,10:27,2,False
278,Japanese,Fish Cheeks,Expensive,Upper West Side,13:19,4:40,4,False
279,Thai,The Modern,Expensive,Chelsea,7:37,2:28,5,True
280,Italian,Take 31,Expensive,Hell's Kitchen,6:05,17:20,1,False
281,Chinese,Dig,Cheap,Gramercy,10:52,15:30,1,True
282,Japanese,Au Cheval,Medium,Greenwich Village,18:14,22:06,4,True
283,Thai,Chipotle,Medium,Hell's Kitchen,6:07,17:11,5,True
284,Japanese,Konbon,Medium,Upper East Side,6:06,4:36,4,True
285,Thai,Golden Wuish,Cheap,Little Italy,9:59,2:27,4,True
286,French,Nemesis,Expensive,Soho,1:19,11:33,2,True
287,American,Five Guys,Medium,Financial District,10:55,16:02,5,True
288,American,Cha Long,Cheap,Gramercy,6:04,23:15,4,False
289,French,Gramercy Tavern,Expensive,Hell's Kitchen,18:20,2:17,2,False
290,Mexican,Up Thai,Expensive,Hell's Kitchen,13:44,1:48,5,True
291,Chinese,Torrisi,Medium,Greenwich Village,15:34,16:08,1,True
292,Italian,Sonnyboy,Cheap,Financial District,17:03,11:52,2,False
293,Japanese,Golden Wuish,Medium,Tribeca,11:45,9:22,5,True
294,Italian,Sadelle's,Cheap,East Village,23:32,9:49,3,False
295,Chinese,Dudley's,Expensive,Soho,8:57,11:49,1,False
296,American,Dig,Cheap,Chinatown,3:13,8:09,1,False
297,Japanese,Mamo,Expensive,Upper East Side,23:38,13:55,3,True
298,French,Konbon,Cheap,Little Italy,15:05,21:05,5,False
299,Japanese,Nemesis,Medium,Soho,22:28,7:30,5,False
300,French,Dig,Medium,Chelsea,1:19,13:58,5,False
301,French,Up Thai,Medium,Midtown East,18:52,5:15,3,True
302,French,Che Li,Cheap,Chinatown,21:42,0:50,2,False
303,Chinese,Five Guys,Cheap,Upper West Side,4:50,7:08,5,True
304,Italian,Golden Wuish,Cheap,Hell's Kitchen,22:39,4:18,1,True
305,Italian,Five Guys,Expensive,Greenwich Village,5:14,9:35,2,True
306,Korean,Dig,Expensive,Financial District,1:42,4:13,3,True
307,American,Ippudo,Expensive,Midtown East,6:12,18:33,5,True
308,Korean,Five Guys,Expensive,East Village,8:56,10:07,5,True
309,Thai,Take 31,Expensive,Gramercy,15:07,21:41,1,True
310,Thai,Sonnyboy,Medium,Gramercy,22:49,23:06,5,False
311,Mexican,Chipotle,Medium,Midtown East,23:33,14:15,1,True
312,Japanese,Mamo,Medium,Hell's Kitchen,5:04,21:12,4,False
313,Mexican,Torrisi,Medium,Soho,1:32,0:39,2,False
314,Japanese,Chipotle,Expensive,Midtown East,14:09,6:08,5,True
315,Mexican,Sonnyboy,Cheap,Soho,9:11,5:25,4,True
316,American,Carbone,Cheap,Financial District,2:37,3:58,1,True
317,Thai,Carbone,Cheap,Greenwich Village,1:47,3:06,1,False
318,French,Tatiana,Cheap,Gramercy,18:00,13:04,3,True
319,Korean,Mareluna,Cheap,Financial District,10:24,21:34,1,True
320,American,Ruby's,Expensive,Midtown East,22:28,22:04,5,True
321,Italian,Take 31,Expensive,Soho,13:00,3:10,2,True
322,French,Ippudo,Cheap,Little Italy,7:36,1:07,3,False
323,Chinese,Cha Long,Cheap,Upper East Side,13:07,8:45,2,False
324,American,Mareluna,Cheap,Chinatown,17:03,5:42,2,False
325,French,Dig,Medium,Upper West Side,4:20,2:24,2,False
326,American,Cha Long,Cheap,Tribeca,21:27,3:05,3,False
327,Italian,Dudley's,Medium,Midtown East,5:24,9:24,5,False
328,American,Au Cheval,Cheap,Hell's Kitchen,21:59,22:10,3,False
329,Korean,Ruby's,Cheap,Upper West Side,19:08,9:59,4,True
330,Mexican,Ruby's,Expensive,Lower East Side,16:40,22:19,4,True
331,American,Carbone,Expensive,Midtown East,19:01,22:56,4,True
332,Chinese,ABC Kitchen,Medium,Chinatown,4:31,13:30,1,True
333,Thai,Dig,Cheap,Midtown East,21:49,0:05,3,True
334,Thai,Torrisi,Expensive,Chelsea,5:53,10:29,5,True
335,American,Sadelle's,Cheap,Upper West Side,21:18,19:42,2,False
336,Mexican,Au Cheval,Medium,Upper West Side,22:28,22:24,5,False
337,Japanese,Au Cheval,Expensive,Greenwich Village,8:59,23:40,2,True
338,Japanese,Raku,Cheap,Financial District,22:30,15:45,4,True
339,Chinese,Cha Long,Medium,Lower East Side,3:40,17:15,5,True
340,Italian,Torrisi,Expensive,Lower East Side,17:20,7:45,3,True
341,Chinese,The Modern,Expensive,Lower East Side,9:28,20:54,3,False
342,Thai,Fish Cheeks,Medium,East Village,5:24,11:54,2,True
343,Korean,Take 31,Medium,Chinatown,21:15,1:49,1,False
344,Chinese,Konbon,Medium,Midtown East,17:25,19:03,4,False
345,French,Ruby's,Medium,Chelsea,17:31,10:53,2,True
346,Chinese,Ippudo,Medium,Chelsea,23:29,20:29,1,False
347,Italian,Torrisi,Medium,Gramercy,6:19,8:26,4,False
348,Korean,Dudley's,Medium,Chelsea,14:44,18:20,3,True
349,Mexican,Au Cheval,Medium,Greenwich Village,23:12,6:07,2,True
350,Thai,Gramercy Tavern,Cheap,Financial District,0:07,12:49,1,True
351,American,Sadelle's,Cheap,Chinatown,17:52,16:51,5,True
352,Mexican,Dudley's,Cheap,Upper East Side,2:30,4:38,2,True
353,Korean,Fish Cheeks,Medium,East Village,8:48,16:59,3,False
354,Chinese,The Modern,Medium,Upper West Side,7:42,19:11,3,False
355,Korean,Torrisi,Medium,Hell's Kitchen,0:46,23:20,4,False
356,Chinese,Torrisi,Medium,Chelsea,3:44,1:36,2,True
357,American,Ruby's,Expensive,Financial District,22:00,9:39,3,True
358,Japanese,Mamo,Cheap,Chinatown,5:28,4:35,1,True
359,Italian,Tatiana,Cheap,Tribeca,16:05,19:02,2,False
360,Korean,Raku,Expensive,Upper West Side,9:28,9:28,5,False
361,Italian,Golden Wuish,Expensive,Chelsea,16:57,20:31,2,True
362,Korean,Palma,Cheap,Chinatown,23:58,13:35,5,False
363,Mexican,Up Thai,Cheap,Chelsea,7:17,11:23,3,True
364,Mexican,Mamo,Medium,Lower East Side,1:12,16:14,4,False
365,Thai,Carbone,Cheap,East Village,9:24,12:43,4,True
366,Japanese,Tatiana,Expensive,Upper West Side,15:47,13:44,2,True
367,American,Gramercy Tavern,Medium,Gramercy,6:27,16:16,3,True
368,American,Carbone,Expensive,Hell's Kitchen,8:46,4:02,4,False
369,Korean,Chipotle,Cheap,Midtown East,21:17,19:42,4,False
370,Korean,Nemesis,Cheap,Lower East Side,14:48,3:42,1,False
371,Mexican,Tatiana,Medium,Upper East Side,7:32,10:45,2,False
372,Thai,Gramercy Tavern,Expensive,Chelsea,18:10,10:13,1,False
373,French,Up Thai,Cheap,Midtown East,15:47,17:24,5,True
374,French,Raku,Medium,Soho,0:01,18:58,5,True
375,American,Up Thai,Expensive,Midtown East,5:13,21:23,1,False
376,Korean,Sadelle's,Expensive,Soho,7:42,4:28,5,True
377,Korean,Up Thai,Medium,Hell's Kitchen,23:21,11:14,3,False
378,Chinese,Raku,Cheap,Tribeca,8:59,22:09,1,True
379,Mexican,Tatiana,Cheap,Chinatown,0:25,10:15,1,True
380,Chinese,Sadelle's,Cheap,Tribeca,16:41,16:24,2,True
381,Italian,Golden Wuish,Medium,Chelsea,16:43,3:49,1,True
382,Mexican,Dig,Expensive,Midtown East,11:59,14:49,5,False
383,American,Five Guys,Expensive,Chelsea,1:08,19:44,3,True
384,Japanese,Five Guys,Expensive,Soho,6:11,18:35,1,True
385,Chinese,Take 31,Medium,Little Italy,12:19,7:54,1,True
386,Italian,Konbon,Cheap,Hell's Kitchen,22:11,18:55,3,False
387,American,Ippudo,Medium,Chinatown,23:15,6:00,4,True
388,Korean,Torrisi,Medium,Soho,9:37,22:52,3,False
389,Japanese,Chipotle,Cheap,Chinatown,3:10,4:45,1,False
390,Chinese,Nemesis,Cheap,Little Italy,9:47,20:08,5,True
391,American,Sadelle's,Expensive,Hell's Kitchen,4:28,16:51,3,False
392,Italian,Torrisi,Expensive,Midtown East,8:47,4:30,1,False
393,Thai,Fish Cheeks,Cheap,Chelsea,20:06,19:23,4,True
394,French,The Modern,Medium,Hell's Kitchen,8:01,0:17,5,True
395,Japanese,The Modern,Expensive,Soho,12:22,9:00,1,True
396,French,Sonnyboy,Expensive,Tribeca,18:27,7:01,1,True
